provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalComplete,argus-axum-16221033744433962440,0,2,true,468,94,94
AlphabeticalUnsound,random-30-10,0,1,true,30,168,168
AlphabeticalRelevant,argus-bevy-11770160436335055444,0,2,true,71,37,37
AlphabeticalUnsound,argus-axum-6256519327200940257,0,1,true,103,198,198
AlphabeticalRelevant,random-10-5,0,0,true,16,14,14
AlphabeticalComplete,manual-6,0,1,true,24,26,26
AlphabeticalUnsound,random-50-7,0,2,true,100,288,288
AlphabeticalRelevant,random-20-8,0,2,true,63,22,22
AlphabeticalUnsound,argus-bevy-4396782807146839494,0,0,true,15,90,90
AlphabeticalUnsound,argus-axum-18352723104139980097,0,0,true,103,198,198
AlphabeticalRelevant,random-10-5,0,1,true,15,14,14
AlphabeticalUnsound,argus-axum-2355552700190003252,0,1,true,78,150,150
AlphabeticalUnsound,random-30-10,0,2,true,32,168,168
AlphabeticalComplete,manual-6,0,2,true,24,26,26
AlphabeticalUnsound,random-20-9,0,0,true,16,114,114
AlphabeticalUnsound,argus-bevy-4396782807146839494,0,1,true,15,90,90
AlphabeticalRelevant,random-10-5,0,2,true,15,14,14
AlphabeticalRelevant,manual-1,0,2,true,51,26,26
AlphabeticalUnsound,argus-chumsky-8885235206614481399,0,0,true,0,6,6
AlphabeticalUnsound,argus-chumsky-8885235206614481399,0,1,true,0,6,6
AlphabeticalUnsound,argus-chumsky-8885235206614481399,0,2,true,0,6,6
AlphabeticalUnsound,random-10-6,0,0,true,3,48,48
AlphabeticalComplete,argus-chumsky-8885235206614481399,0,0,true,0,2,2
AlphabeticalComplete,argus-chumsky-8885235206614481399,0,1,true,0,2,2
AlphabeticalComplete,argus-chumsky-8885235206614481399,0,2,true,0,2,2
AlphabeticalRelevant,argus-chumsky-8885235206614481399,0,0,true,0,2,2
AlphabeticalRelevant,argus-chumsky-8885235206614481399,0,1,true,0,2,2
AlphabeticalUnsound,random-10-6,0,1,true,3,48,48
AlphabeticalRelevant,argus-chumsky-8885235206614481399,0,2,true,0,2,2
