provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalRelevant,argus-bevy-4396782807146839494,0,2,true,4,10,10
AlphabeticalUnsound,argus-axum-6361058880873831381,0,2,true,42,120,120
AlphabeticalUnsound,argus-diesel-1094926252705493355,0,1,true,33,156,156
AlphabeticalUnsound,argus-diesel-15009615579564917699,0,2,true,10,90,90
AlphabeticalComplete,argus-axum-16221033744433962440,0,1,true,45,15,15
AlphabeticalRelevant,argus-chumsky-11676463297315425816,0,0,true,15,16,16
AlphabeticalComplete,argus-chumsky-7080345814600703276,0,2,true,26,30,30
AlphabeticalComplete,argus-chumsky-11676463297315425816,0,2,true,20,28,28
AlphabeticalRelevant,argus-chumsky-11676463297315425816,0,1,true,15,16,16
AlphabeticalComplete,argus-axum-15641753760587755699,0,0,true,89,52,52
AlphabeticalUnsound,argus-diesel-2315795211719089505,0,1,true,44,180,180
AlphabeticalUnsound,argus-axum-1337639213112565491,0,1,true,51,144,144
AlphabeticalComplete,argus-axum-16221033744433962440,0,2,true,47,15,15
AlphabeticalRelevant,argus-chumsky-11676463297315425816,0,2,true,15,16,16
AlphabeticalComplete,argus-axum-8866031756020282294,0,0,true,34,12,12
AlphabeticalUnsound,argus-axum-1337639213112565491,0,2,true,50,144,144
AlphabeticalRelevant,argus-axum-16221033744433962440,0,1,true,41,12,12
AlphabeticalUnsound,argus-diesel-1094926252705493355,0,2,true,34,156,156
AlphabeticalRelevant,argus-axum-6256519327200940257,0,0,true,115,18,18
AlphabeticalComplete,argus-diesel-12280181414965390748,0,0,true,66,48,48
AlphabeticalComplete,argus-axum-8866031756020282294,0,1,true,34,12,12
AlphabeticalRelevant,argus-axum-8866031756020282294,0,0,true,40,12,12
AlphabeticalUnsound,argus-diesel-2315795211719089505,0,2,true,44,180,180
AlphabeticalRelevant,argus-axum-18226239923860325739,0,0,false,138,32,32
AlphabeticalComplete,argus-axum-17497105317668159604,0,0,true,90,31,31
AlphabeticalComplete,argus-diesel-15009615579564917699,0,0,true,64,52,52
AlphabeticalRelevant,argus-axum-6256519327200940257,0,1,true,114,18,18
AlphabeticalRelevant,argus-axum-16221033744433962440,0,2,true,42,12,12
AlphabeticalUnsound,argus-diesel-15648008676699765325,0,0,true,10,90,90
AlphabeticalRelevant,argus-axum-12393876099641280534,0,0,true,144,36,36
AlphabeticalUnsound,argus-diesel-8325909996476259911,0,0,true,0,6,6
AlphabeticalRelevant,argus-axum-18352723104139980097,0,0,true,143,30,30
AlphabeticalUnsound,argus-diesel-8325909996476259911,0,1,true,0,6,6
AlphabeticalUnsound,argus-diesel-8325909996476259911,0,2,true,0,6,6
AlphabeticalComplete,argus-diesel-8325909996476259911,0,0,true,0,2,2
AlphabeticalRelevant,argus-axum-18352723104139980097,0,1,true,143,30,30
AlphabeticalComplete,argus-diesel-8325909996476259911,0,1,true,0,2,2
AlphabeticalRelevant,argus-axum-12393876099641280534,0,1,true,140,36,36
AlphabeticalRelevant,argus-axum-6256519327200940257,0,2,true,115,18,18
AlphabeticalComplete,argus-diesel-8325909996476259911,0,2,true,0,2,2
AlphabeticalComplete,argus-diesel-12280181414965390748,0,1,true,66,48,48
AlphabeticalRelevant,argus-diesel-8325909996476259911,0,0,true,0,2,2
AlphabeticalUnsound,argus-diesel-15648008676699765325,0,1,true,10,90,90
AlphabeticalRelevant,argus-diesel-8325909996476259911,0,1,true,0,2,2
AlphabeticalRelevant,argus-diesel-8325909996476259911,0,2,true,0,2,2
AlphabeticalRelevant,argus-axum-15073555522447742375,0,1,true,86,20,20
AlphabeticalRelevant,argus-axum-10310841651143324696,0,2,true,158,66,66
AlphabeticalUnsound,argus-hello-server-10345094108195090742,0,0,true,1,24,24
AlphabeticalUnsound,argus-hello-server-10345094108195090742,0,1,true,1,24,24
AlphabeticalUnsound,argus-hello-server-10345094108195090742,0,2,true,1,24,24
AlphabeticalRelevant,argus-diesel-12280181414965390748,0,0,true,76,48,48
AlphabeticalComplete,argus-axum-15073555522447742375,0,0,true,161,50,50
AlphabeticalComplete,argus-axum-8866031756020282294,0,2,true,35,12,12
AlphabeticalUnsound,argus-diesel-15648008676699765325,0,2,true,10,90,90
AlphabeticalUnsound,argus-diesel-2829387904342691312,0,0,true,14,90,90
